,Teams,GoalsM,GoalsC,Shots Per Game,ShotsC Per Game,Yellows
0,Arsenal,88,43,5.37,3.58,51
1,Aston Villa,51,46,3.97,4.18,80
2,Bournemouth,37,71,3.50,5.42,68
3,Brentford,58,46,4.26,5.39,55
4,Brighton,72,53,6.08,3.50,59
5,Chelsea,38,47,4.16,4.42,77
6,Crystal Palace,40,49,3.58,4.26,78
7,Everton,34,57,4.00,5.08,79
8,Fulham,55,53,3.92,5.26,80
9,Leeds,48,78,3.82,5.08,84
10,Leicester,51,68,4.00,4.68,58
11,Liverpool,75,47,5.58,4.21,57
12,Man City,94,33,5.76,2.53,43
13,Man United,58,43,5.63,3.82,78
14,Newcastle,68,33,5.18,3.47,57
15,Nottingham,38,68,3.11,5.00,84
16,Southampton,36,73,3.74,4.16,73
17,Tottenham,70,63,5.26,4.61,75
18,West Ham,42,55,3.82,4.58,44
19,Wolves,31,58,3.29,4.79,83
